Gas,Temp_Min,Temp_Max,Hum_Min,Hum_Max,Speed
456,26,36,29,65,2
461,21,32,34,56,2
487,22,36,50,93,2
476,20,37,26,98,2
476,23,39,16,83,2
470,23,40,12,78,3
476,24,41,14,70,3
486,26,42,10,54,2
496,25,43,19,68,2
506,26,41,23,77,3
526,26,40,18,73,3
516,24,41,25,56,2
496,25,40,22,85,3
486,25,41,12,68,2
487,26,42,12,47,2
496,26,41,21,56,2
513,25,42,23,65,2
536,27,42,16,59,2
547,27,42,15,67,2
540,26,42,17,62,2
535,25,41,21,71,3
512,27,42,14,57,2
497,26,42,14,57,2
486,27,41,18,75,3
476,27,42,20,56,2
476,26,38,23,43,2
486,23,42,17,49,2
496,25,42,16,64,2
509,26,43,23,65,2
517,28,42,22,77,3
528,25,42,18,70,3
539,29,42,14,51,2
546,27,40,23,52,2
557,25,39,24,62,2
560,24,39,20,80,2
559,22,36,27,80,2
541,22,34,44,70,2
536,23,31,42,68,2
521,23,33,54,82,2
538,25,35,34,93,2
545,26,35,44,87,2
556,25,33,42,84,2
562,25,35,44,93,2
573,23,31,60,87,2
582,25,34,59,89,2
588,25,34,49,96,2
592,24,35,54,90,2
581,23,33,70,90,2
572,23,37,64,97,2
565,23,36,72,100,2
571,22,32,65,98,2
586,22,31,80,95,2
592,24,33,83,98,2
619,22,31,45,96,2
628,24,29,80,96,2
631,24,34,80,96,2
627,23,33,90,96,2
617,22,30,38,86,2
592,23,33,63,84,2
611,24,34,56,85,2
623,24,35,54,77,2
638,23,34,69,84,2
647,23,34,54,89,2
631,23,35,52,78,2
620,24,33,84,93,2
606,24,32,41,98,2
596,24,32,63,90,2
612,23,34,71,93,2
627,24,37,63,87,2
635,24,31,72,97,2
649,22,32,81,96,2
652,23,31,68,85,2
648,22,31,66,86,2
631,21,31,64,86,2
619,22,32,70,89,2
634,24,29,62,87,2
642,23,26,56,88,2
661,22,30,79,92,2
692,23,29,82,92,2
671,23,33,80,88,2
660,23,29,86,90,2
654,23,29,85,90,2
667,23,30,88,90,2
687,23,29,90,96,2
696,21,30,89,94,2
715,24,29,90,95,2
737,24,30,83,88,2
749,23,28,88,94,2
762,22,30,89,92,2
749,21,29,84,95,2
731,22,29,90,96,2
728,22,28,42,90,2
738,22,27,72,97,2
742,22,28,81,96,2
758,23,30,68,85,2
763,23,27,66,86,2
781,23,27,64,86,2
763,22,29,70,89,2
749,23,28,62,87,2
764,22,30,56,88,2
771,21,29,79,92,2
789,22,30,82,92,2
773,23,35,80,88,2
769,22,28,86,90,2
763,22,28,85,90,2
789,22,27,88,90,2
795,22,30,90,96,2
808,23,31,89,94,2
817,23,29,90,95,2
828,23,23,83,88,2
815,21,29,88,94,2
825,22,30,89,92,2
812,23,29,84,95,2
806,21,26,90,96,2
795,22,26,42,90,2
780,22,26,90,95,2
797,22,27,83,88,2
809,22,26,88,94,2
827,21,27,89,92,2
839,22,26,84,95,2
848,22,27,90,96,2
832,23,27,42,90,2
821,21,29,80,92,2
818,22,29,93,96,2
803,21,31,84,90,2
828,22,30,88,96,2
837,22,30,84,92,2
841,23,29,80,94,2
859,21,31,88,90,2
868,23,29,76,88,2
852,22,29,87,93,2
846,21,31,81,93,2
839,22,31,78,93,2
843,22,29,65,85,2
851,22,31,64,84,2
863,21,30,63,85,2
879,22,32,62,83,2
886,22,27,63,72,2
873,22,29,62,74,2
869,22,25,71,86,2
853,21,24,75,83,2
842,21,26,72,86,2
859,22,28,78,90,2
868,22,28,78,91,2
884,21,27,81,95,2
891,21,28,85,90,2
904,21,27,92,94,3
896,22,27,80,90,2
885,22,27,86,89,2
873,22,27,73,90,2
866,22,27,74,88,2
851,22,30,78,82,2
864,22,29,74,88,2
879,21,28,80,91,2
880,22,27,88,91,2
892,22,28,76,88,2
907,22,28,70,91,3
915,22,28,77,94,3
900,22,29,76,91,2
882,21,26,74,90,2
876,20,28,78,93,2
861,19,30,73,93,2
859,21,31,81,92,2
841,21,30,72,82,2
852,21,28,65,86,2
869,21,28,64,74,2
875,21,29,56,86,2
862,22,26,74,88,2
881,21,25,56,74,2
894,22,29,66,80,2
901,22,30,52,84,3
909,22,28,56,84,3
916,21,30,54,85,3
928,22,30,62,84,3
916,21,27,68,90,3
905,20,26,79,91,3
886,21,30,81,96,2
872,20,30,82,98,2
867,22,27,84,96,2
870,22,25,80,92,2
863,21,24,78,90,2
897,21,27,80,94,2
902,19,28,82,96,3
919,20,29,62,90,3
928,20,29,72,91,3
932,21,31,64,94,3
939,22,31,59,88,3
925,21,30,52,89,3
917,19,30,50,90,3
997,21,31,46,92,3
884,19,33,60,90,2
872,20,32,60,95,2
885,20,33,58,97,2
891,19,32,66,98,2
899,19,32,60,90,2
907,19,33,59,96,3
914,18,33,53,93,3
926,19,32,61,90,3
